Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01315","Figs","2019","2019","1000 US$","19157","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01330","Grapes","2019","2019","1000 US$","2643471","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01252","Green garlic","2019","2019","1000 US$","188931","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0142","Groundnuts, excluding shelled","2019","2019","1000 US$","71613","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0231","Hen eggs in shell, fresh","2019","2019","1000 US$","7106301","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01922.01","Jute, raw or retted","2019","2019","1000 US$","3","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01922.02","Kenaf, and other textile bast fibres, raw or retted","2019","2019","1000 US$","930","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01322","Lemons and limes","2019","2019","1000 US$","219085","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01441","Linseed","2019","2019","1000 US$","868","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2019","2019","1000 US$","17115363","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01316","Mangoes, guavas and mangosteens","2019","2019","1000 US$","389076","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01630","Maté leaves","2019","2019","1000 US$","76654","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","1000 US$","30135479","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01i","Meat of cattle with the bone, fresh or chilled (indigenous)","2019","2019","1000 US$","30135479","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","21121","Meat of chickens, fresh or chilled","2019","2019","1000 US$","27312063","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","21121i","Meat of chickens, fresh or chilled (indigenous)","2019","2019","1000 US$","27312063","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","21113.01","Meat of pig with the bone, fresh or chilled","2019","2019","1000 US$","7256449","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","21113.01i","Meat of pig with the bone, fresh or chilled (indigenous)","2019","2019","1000 US$","7256449","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","02910","Natural honey","2019","2019","1000 US$","123806","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01950.01","Natural rubber in primary forms","2019","2019","1000 US$","111074","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0117","Oats","2019","2019","1000 US$","64948","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01491.01","Oil palm fruit","2019","2019","1000 US$","115225","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01450","Olives","2019","2019","1000 US$","1796","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","1000 US$","541518","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01323","Oranges","2019","2019","1000 US$","1881327","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01929.90","Other fibre crops, raw, n.e.c.","2019","2019","1000 US$","25739","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2019","2019","1000 US$","1416","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01319","Other tropical fruits, n.e.c.","2019","2019","1000 US$","128783","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01317","Papayas","2019","2019","1000 US$","364981","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01345","Peaches and nectarines","2019","2019","1000 US$","83079","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01342.01","Pears","2019","2019","1000 US$","7917","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01705","Peas, dry","2019","2019","1000 US$","2612","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01651","Pepper (Piper spp.), raw","2019","2019","1000 US$","229846","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01359.01","Persimmons","2019","2019","1000 US$","61665","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01318","Pineapples","2019","2019","1000 US$","840398","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2019","2019","1000 US$","1935643","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01342.02","Quinces","2019","2019","1000 US$","132","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","02211","Raw milk of cattle","2019","2019","1000 US$","13518972","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2019","2019","1000 US$","2921763","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0116","Rye","2019","2019","1000 US$","1262","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01921.01","Seed cotton, unginned","2019","2019","1000 US$","7086925","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2019","2019","1000 US$","12859","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","02944","Silk-worm cocoons suitable for reeling","2019","2019","1000 US$","8848","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01929.05","Sisal, raw","2019","2019","1000 US$","21077","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0114","Sorghum","2019","2019","1000 US$","277468","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2019","2019","1000 US$","41510463","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2019","2019","1000 US$","16694363","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01445","Sunflower seed","2019","2019","1000 US$","42068","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01530","Sweet potatoes","2019","2019","1000 US$","161317","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01324","Tangerines, mandarins, clementines","2019","2019","1000 US$","162191","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01620","Tea leaves","2019","2019","1000 US$","222","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01234","Tomatoes","2019","2019","1000 US$","3858243","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01191","Triticale","2019","2019","1000 US$","7264","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01499.02","Tung nuts","2019","2019","1000 US$","23","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01970","Unmanufactured tobacco","2019","2019","1000 US$","2128649","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01376","Walnuts, in shell","2019","2019","1000 US$","9377","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01221","Watermelons","2019","2019","1000 US$","305108","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","0111","Wheat","2019","2019","1000 US$","1331573","E","Estimated value"
